Date,gdp,ibc_br,mon_gdp,ipca,ipca_ex,ipca_exi,ipca_exii,ipca_exiii,inpc,igpm,igpdi,incc_m,incc_di_mo,incc_di_servmat,ipatac_m,ipc_br,ipa,ipc_fipe,commdt_index_br,commdt_index_agro,commdt_index_metal,sinapi,ccb_sp,ccb_bh,ccb_rj,ccb_bsb,ccb_sal,wage_mass_ind,new_caged,caged_agro,caged_ind_ext,caged_ind_transf,caged_const,caged_com,caged_servi,hrs_wkd_ind_transf,unem_rate_pnad,ind_prod,ind_prod_ext,ind_prod_transf,ind_cap_goods,ind_prod_int_goods,ind_prod_man,ind_prod_dur_goods,ind_prod_nondur_goods,ind_prod_cc_materials,ind_real_sales,vehi_prod,pass_cars_prod,truck_prod,bus_prod,total_sales,const_sales,com_sales,forn_app_sales,fuel_sales,nondur_congoods_sales,vest_sales,vehi_sales,medcare_sales,books_sales,offcomm_sales,others_sales,vehi_total_sales_fenabrave,pass_vehi_sales,light_comm_vehi_sales,truck_sales,bus_sales,vehi_total_sales_anfavea,vehi_domestic_sales,energy_comm,energy_res,energy_ind,energy_total,prod_crude_oil,prod_lgn,prod_oil_deriv,co_gas,co_glp,co_oilcomb,co_diesel,co_oilderiv_total,co_hid_alc,co_alc_total,curr_acc,idp_gdp_twelve_mon,ide_mon,net_publi_debt_states,pr_central_gov,net_debt_percent_gdp,net_debt_per_gdp_states,net_debt_per_gdp_pe,net_debt_per_gdp_cons_ps,nm_debt_cost,nm_debt_cost_int,mon_base,inter_reserv,inter_reserv_liq,mi_wkdavg,mii_balance_endp,selic_mon,interest_longterm,cdi_mon,credit_tot,credit_enter,bndes_desem_total,bndes_desem_ind_transf,bndes_desem_comserv,bndes_desem_ind_ext,exr_usd_mon_mean,household_debt,steel_prod,road_flow_gross_vehi,serv_conf_index_fgv,serv_curr_situ_index_fgv,serv_expec_index_fgv,ind_conf_cons_feco,ind_eco_cond_feco,ind_fut_expec_feco,ind_conf_index_fgv,ind_curr_situ_index_fgv,ind_expec_index_fgv,cons_conf_index_fgv,cons_curr_situ_index_fgv,cons_expec_index_fgv,emp_conf_index_fgv,emp_curr_situ_index_fgv,emp_expec_index_fgv,expec_gdp,expec_ipca,expec_selic,expec_exr_usd,exp_fob,exp_kgood_fob,exp_comgood_fob,imp_fob,imp_kgood_fob,imp_comgood_fob,revenue_rf,brent_oil_price,ibov,nasdaq,snp_500,dji,gt_crise,gt_desemprego,gt_seguro_desemprego,gt_empregos,gt_trabalho,gt_fgts,gt_renda,gt_salario,gt_economia,nuci_gv
2002-01-01,,-0.3199999999999932,1839.7499999999636,0.52,0.0050000000000000044,0.74,0.44,0.44,1.07,0.36,0.19,0.020000000000000018,0.0,0.7,0.14,0.79,-0.13,0.57,0.5,0.375,0.4099999999999966,0.64,1.2450000000000045,1.9099999999999966,1.365000000000009,0.9300000000000068,1.6299999999999955,0.4000000000000057,-2698.0,4396.5,-71.0,20940.5,-2971.0,6297.0,-349.0,0.5,0.0,0.0,0.09999999999999432,0.2500000000000071,0.3999999999999915,0.14999999999999858,0.4000000000000057,1.3500000000000085,0.15000000000000568,0.75,0.4000000000000057,116830.0,110194.0,161.0,1810.0,0.8699999999999903,-0.010000000000005116,0.8200000000000003,1.1799999999999997,-0.1700000000000017,-0.10999999999999943,1.7000000000000028,0.9099999999999966,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,2962.5,2092.0,493.0,17.0,12.0,4243.5,2750.0,48.0,39.0,48.0,88.0,1442.0,44.0,1486.0,4.0,0.0,148.0,3.0,3.0,1.5,5.0,-145.1,0.0,8.3,1739.7699999999895,-7039.63,0.015000000000000568,-0.049999999999998934,0.0,-0.05000000000000071,14513.0,2.4,611518.5,1234.5,861.0,958387.0,13073481.5,0.0,0.0,0.0,5595.0,6610.0,5991.0,1784.0,3307.0,24.0,-0.0043000000000001926,0.060000000000002274,119.87,0.1500000000000128,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,0.20000000000000284,0.3199999999999932,0.060000000000002274,94.9,95.5,94.8,0.4000000000000057,0.09999999999999432,97.25,93.0,93.7,92.6,-0.009999999999999981,0.029999999999999805,0.0,0.0,147.26587100000143,37.932125499999984,46.82609800000023,72.20300350000025,14.515332500000056,26.404655000000048,2131.8961445799996,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,78.6
2002-02-01,,-0.3199999999999932,-897.6999999999971,0.36,0.33999999999999997,0.73,0.42,0.46,0.31,0.06,0.18,-0.09000000000000002,0.69,0.47,-0.09,0.14,0.14,0.26,-0.3200000000000003,-0.4099999999999966,0.4099999999999966,0.38,0.5800000000000125,3.3900000000000006,2.980000000000004,1.990000000000009,-0.23999999999999488,0.4000000000000057,-2698.0,10423.0,-71.0,8955.0,-2971.0,6297.0,-349.0,0.5,0.0,-2.700000000000003,-3.5,-2.5999999999999943,-1.3000000000000043,-2.4000000000000057,-3.5,-1.8000000000000043,-4.0,0.75,0.4000000000000057,116000.0,108600.0,519.0,2055.0,-2.8499999999999943,-0.010000000000005116,0.8200000000000003,-4.390000000000001,-0.1700000000000017,-2.5900000000000034,-1.8900000000000006,-7.190000000000005,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,-17283.0,-13188.0,-3391.0,-714.0,10.0,-9570.0,-14439.0,69.0,-68.0,488.0,371.0,1435.0,41.0,1476.0,9.0,16.0,126.0,26.0,29.0,1.5,5.0,95.40000000000009,0.009999999999999787,347.1,-364.1900000000023,-2144.53,-0.5299999999999976,-0.1399999999999988,-0.10999999999999988,-0.8500000000000014,-124.0,0.03,-2241514.0,-261.0,-291.0,-2829283.0,878056.0,-0.28,0.0,-0.28,5595.0,6610.0,2559.0,768.0,1537.0,2.0,0.04170000000000007,0.060000000000002274,113.72,1.8399999999999892,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,3.6199999999999903,3.6400000000000006,3.6099999999999994,98.9,95.6,102.5,0.4000000000000057,0.09999999999999432,97.25,97.1,93.8,100.5,0.050000000000000266,0.07000000000000028,-0.46999999999999886,0.0,147.26587100000143,-294.03799100000003,132.10038899999995,-402.86415799999986,-147.2632359999999,26.404655000000048,-5177.194064000003,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,79.2
2002-03-01,,-0.3199999999999932,6967.599999999991,0.6,-0.39999999999999997,0.52,0.51,0.54,0.62,0.09,0.11,0.53,0.06000000000000005,0.35,-0.14,0.42,-0.11,0.07,-2.1799999999999997,-3.819999999999993,-1.1800000000000068,0.87,0.6799999999999784,-5.409999999999997,0.25,-4.450000000000003,3.030000000000001,0.4000000000000057,8247.0,6588.0,-150.0,23642.0,1395.0,-107.0,-4260.0,0.5,0.0,7.700000000000003,8.899999999999999,7.599999999999994,7.0,8.5,6.5,9.100000000000001,5.700000000000003,0.75,0.4000000000000057,143887.0,135421.0,1005.0,2116.0,6.399999999999999,-0.010000000000005116,0.8200000000000003,3.460000000000001,11.409999999999982,9.11,6.520000000000003,7.090000000000003,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,26165.0,20698.0,4277.0,709.0,481.0,29898.0,24869.0,-12.0,115.0,443.0,556.0,1457.0,44.0,1501.0,-19.0,9.0,123.0,46.0,31.0,0.0,-8.0,71.70000000000005,0.09999999999999964,171.9,750.5,-2314.24,-0.28000000000000114,-0.0600000000000005,-0.1200000000000001,-0.4200000000000017,2829.0,0.48,-684703.0,815.0,811.0,-1025281.0,8974074.0,0.1200000000000001,0.0,0.1200000000000001,5595.0,6610.0,1707.0,609.0,745.0,33.0,-0.07299999999999995,0.060000000000002274,121.24,0.030000000000001137,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,0.6400000000000006,3.3499999999999943,-1.1700000000000017,99.6,94.6,104.8,0.4000000000000057,0.09999999999999432,97.25,97.8,92.8,102.9,-0.03000000000000025,0.16999999999999993,-0.030000000000001137,-0.04999999999999982,898.411047,78.95847399999997,71.12502800000004,265.5570469999998,-3.717149000000063,133.10863199999994,-217.86076899999898,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,78.3
2002-04-01,,-0.3199999999999932,1941.199999999997,0.8,0.08000000000000002,0.5,0.5,0.53,0.68,0.56,0.7,-0.52,-0.4,0.31,0.52,0.71,0.75,0.06,-2.3200000000000003,-3.7900000000000063,-0.28999999999999204,0.42,2.3300000000000125,2.069999999999993,1.3199999999999932,-0.8400000000000034,-0.1599999999999966,0.4000000000000057,84830.0,44254.0,583.0,44604.0,7009.0,7539.0,12482.0,0.5,0.0,2.1999999999999886,-1.2999999999999972,2.4000000000000057,3.8000000000000043,1.0,3.6999999999999886,7.100000000000001,2.6999999999999886,0.75,0.4000000000000057,152334.0,143109.0,442.0,2433.0,-3.289999999999999,-0.010000000000005116,0.8200000000000003,0.16999999999999815,-8.669999999999987,-6.969999999999999,1.0399999999999991,3.450000000000003,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,15085.0,12721.0,2232.0,18.0,114.0,14684.0,14528.0,263.0,441.0,400.0,1468.0,1469.0,41.0,1510.0,13.0,-19.0,142.0,-15.0,1.0,12.0,15.0,-972.6000000000001,0.020000000000000462,212.4,448.6499999999942,-5732.5,0.08999999999999986,-0.10999999999999943,-0.029999999999999805,-0.05999999999999517,5119.0,0.82,-773034.0,-3713.0,-4411.0,-218569.0,-1318658.0,0.10999999999999988,-0.5,0.10999999999999988,5595.0,6610.0,1649.0,803.0,588.0,8.0,-0.026200000000000223,0.060000000000002274,111.49,-0.8499999999999943,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,4.700000000000003,-3.299999999999997,10.039999999999992,101.1,94.8,107.5,0.4000000000000057,0.09999999999999432,97.25,99.3,93.0,105.6,-0.020000000000000018,0.41999999999999993,0.10000000000000142,0.0,-238.7503469999997,-13.833530999999994,-11.821401000000037,476.7284870000003,71.17835400000001,-118.86705299999994,2545.930410000001,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,77.4
2002-05-01,,-0.3199999999999932,3166.600000000006,0.21,0.010000000000000009,0.47,0.38,0.53,0.09,0.83,1.11,2.1500000000000004,4.3500000000000005,0.51,0.81,0.28,1.27,0.06,4.1200000000000045,4.519999999999996,4.399999999999999,1.04,-2.960000000000008,-1.3199999999999932,-2.4200000000000017,-3.8699999999999903,-3.760000000000005,0.4000000000000057,-19277.0,77959.0,68.0,25692.0,-13425.0,194.0,-21776.0,0.5,0.0,0.8000000000000114,1.7000000000000028,0.7999999999999972,-2.0,2.700000000000003,-1.1999999999999886,-6.0,0.10000000000000853,0.75,0.4000000000000057,144526.0,135906.0,-349.0,2177.0,3.3799999999999955,-0.010000000000005116,0.8200000000000003,2.789999999999999,2.1499999999999915,2.8599999999999994,14.249999999999993,-6.290000000000006,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,-15673.0,-15318.0,-1049.0,866.0,-172.0,-8623.0,-14510.0,-56.0,-44.0,158.0,9.0,1482.0,48.0,1530.0,-11.0,23.0,134.0,-12.0,-13.0,-12.0,-4.0,68.79999999999995,-0.05999999999999961,203.7,1868.2000000000116,-1848.04,1.1199999999999974,0.0,0.08000000000000007,1.2199999999999989,7443.0,1.15,666051.0,-119.0,569.0,597200.0,2361697.0,-0.07000000000000006,0.0,-0.08000000000000007,5595.0,6610.0,2653.0,1699.0,651.0,6.0,0.16000000000000014,0.060000000000002274,123.3,-0.23000000000000398,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,0.15000000000000568,0.5999999999999943,-0.1599999999999966,97.0,90.2,104.5,0.4000000000000057,0.09999999999999432,97.25,95.2,88.2,102.6,-0.10000000000000009,0.0,0.3999999999999986,0.0,-548.3075469999994,-65.79100999999997,11.216526999999928,-71.57351500000004,-36.134187,-10.89067399999999,-1766.7017090000008,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,77.6
2002-06-01,4.780000000000001,-0.3199999999999932,-128.10000000000582,0.42,-0.36,0.37,0.29,0.31,0.61,1.54,1.74,-2.2600000000000002,-4.01,0.45,2.31,0.55,2.5,0.31,6.300000000000004,7.050000000000011,3.1999999999999957,1.14,2.240000000000009,1.6299999999999955,-0.45999999999999375,2.6699999999999875,2.9399999999999977,0.4000000000000057,-22467.0,61373.0,-339.0,10578.0,4377.0,8095.0,-2705.0,0.5,0.0,-2.9000000000000057,-0.29999999999999716,-3.1000000000000085,-4.400000000000006,-1.7000000000000028,-4.5,-7.5,-3.4000000000000057,0.75,0.4000000000000057,130458.0,122977.0,-907.0,1945.0,-3.3799999999999955,-0.010000000000005116,0.8200000000000003,-4.48,-4.469999999999999,-2.8599999999999994,-6.609999999999999,-5.159999999999997,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,-15688.0,-11356.0,-3184.0,-1096.0,-52.0,-19133.0,-13644.0,-272.0,-212.0,-22.0,-494.0,1503.0,46.0,1549.0,-11.0,-24.0,137.0,2.0,-32.0,2.0,-2.0,613.5,0.10999999999999943,91.4,5564.1999999999825,-1781.49,2.0600000000000023,0.1999999999999993,0.09999999999999964,2.3699999999999974,19378.0,3.02,1312666.0,9110.0,9117.0,4892338.0,17041774.0,-0.07999999999999985,0.0,-0.08999999999999986,5595.0,6610.0,2853.0,2151.0,396.0,13.0,0.23360000000000003,0.060000000000002274,121.8,2.3299999999999983,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,-11.75,-8.39,-13.980000000000004,94.3,86.6,102.8,0.4000000000000057,0.09999999999999432,97.25,92.4,84.4,100.8,-0.09999999999999964,0.07000000000000028,0.0,0.04999999999999982,-171.22544300000118,-26.693533000000002,-3.8039029999998775,-666.1863539999999,-148.286475,-19.24926300000004,-716.8367539989995,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,77.7
2002-07-01,,-0.3199999999999932,3432.2000000000116,1.19,0.32999999999999996,1.13,0.69,0.56,1.15,1.95,2.05,0.42000000000000004,-0.69,0.58,2.66,1.03,2.82,0.67,9.209999999999994,11.61,-1.4399999999999906,0.55,3.1399999999999864,3.3700000000000045,2.299999999999997,1.6099999999999994,1.6500000000000057,0.4000000000000057,-72119.0,23974.0,-392.0,1046.0,620.0,-7572.0,-17836.0,0.5,0.0,5.799999999999997,2.5,6.0,5.5,4.400000000000006,8.0,3.1000000000000014,9.400000000000006,0.75,0.4000000000000057,133240.0,125704.0,402.0,1598.0,1.9899999999999949,-0.010000000000005116,0.8200000000000003,1.3500000000000014,12.269999999999996,1.0799999999999983,2.2700000000000102,5.969999999999999,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,16208.0,13750.0,2332.0,14.0,112.0,22341.0,16014.0,-181.0,-183.0,-178.0,-539.0,1454.0,40.0,1494.0,5.0,27.0,125.0,21.0,39.0,6.0,8.0,750.3000000000001,-0.2699999999999996,649.0,9123.440000000002,-2089.59,3.4399999999999977,0.47000000000000064,0.29000000000000004,4.25,23928.0,3.42,3642421.0,-2939.0,-3450.0,3845063.0,11576799.0,0.20999999999999996,0.5,0.21999999999999997,5595.0,6610.0,2878.0,1394.0,1031.0,16.0,0.22060000000000013,0.060000000000002274,125.71,0.2400000000000091,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,9.409999999999997,10.560000000000002,8.64,91.5,82.1,102.1,0.4000000000000057,0.09999999999999432,97.25,89.6,79.7,100.1,-0.30000000000000027,0.45999999999999996,0.0,0.050000000000000266,2496.5456350000004,115.63468899999998,215.24500799999998,1617.824035,270.137063,138.71894199999997,3932.637183998999,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,77.7
2002-08-01,,-0.3199999999999932,943.5,0.65,-0.08999999999999997,0.73,0.8,0.48,0.86,2.32,2.36,0.18999999999999995,0.69,1.31,3.2,0.76,3.32,1.01,4.760000000000005,5.560000000000002,-3.910000000000011,0.76,3.6500000000000057,1.3399999999999892,1.4200000000000017,1.2700000000000102,4.769999999999996,0.4000000000000057,16795.0,-10649.0,529.0,17457.0,643.0,7441.0,25728.0,0.5,0.0,0.29999999999999716,0.3999999999999915,0.30000000000001137,-3.0,-0.6000000000000085,2.6999999999999886,0.29999999999999716,3.3999999999999915,0.75,0.4000000000000057,127173.0,119726.0,-357.0,1866.0,1.5600000000000023,-0.010000000000005116,0.8200000000000003,0.6799999999999997,-4.799999999999997,1.9600000000000009,0.0,0.6099999999999994,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,3269.0,4019.0,-40.0,-625.0,-85.0,-2764.0,1627.0,175.0,215.0,304.0,747.0,1504.0,48.0,1553.0,1.0,-19.0,129.0,14.0,3.0,-11.0,-3.0,857.4000000000001,-0.0600000000000005,263.7,1527.7300000000105,-1417.87,-2.5700000000000003,-0.05000000000000071,-0.23999999999999977,-2.8800000000000026,-28984.0,-4.08,2046526.0,-1417.0,-1584.0,2684305.0,15870998.0,-0.10000000000000009,0.0,-0.08000000000000007,5595.0,6610.0,4819.0,1632.0,2820.0,5.0,0.1755,0.060000000000002274,129.84,1.3100000000000023,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,-4.010000000000005,-7.3999999999999915,-1.75,93.3,87.1,100.2,0.4000000000000057,0.09999999999999432,97.25,91.4,85.0,98.2,-0.3999999999999999,0.4399999999999995,0.0,0.19999999999999973,-2600.9878339999996,-57.30716000000001,19.76849900000002,-847.7652859999998,-174.853337,-127.23404599999992,-2566.1121559999992,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,78.3
2002-09-01,4.090000000000003,-0.3199999999999932,-2662.300000000003,0.72,0.20999999999999996,0.67,0.88,0.69,0.83,2.4,2.64,-0.1399999999999999,-0.69,1.39,3.43,0.66,3.84,0.76,9.310000000000002,10.72999999999999,4.590000000000003,1.25,2.1599999999999966,10.820000000000007,4.960000000000008,6.040000000000006,1.2900000000000063,0.4000000000000057,89290.0,-14723.0,905.0,74248.0,3193.0,21507.0,11171.0,0.5,0.0,-1.5,-3.799999999999997,-1.3000000000000114,0.10000000000000142,-2.1999999999999886,-0.8999999999999915,4.700000000000003,-2.5,0.75,0.4000000000000057,140896.0,133757.0,-228.0,1786.0,-3.8100000000000023,-0.010000000000005116,0.8200000000000003,-2.280000000000001,-7.029999999999987,-4.380000000000003,-9.440000000000005,-0.19999999999999574,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,2674.0,2354.0,-373.0,649.0,44.0,7638.0,2970.0,67.0,-9.0,-131.0,-4.0,1486.0,46.0,1531.0,7.0,6.0,128.0,15.0,34.0,15.0,13.0,921.6000000000001,-0.019999999999999574,345.5,12164.279999999999,-6043.9,5.359999999999999,0.6600000000000019,0.3799999999999999,6.540000000000006,32120.0,4.53,1898659.0,738.0,1017.0,2606080.0,6599526.0,-0.06000000000000005,0.0,-0.07000000000000006,5595.0,6610.0,3712.0,1581.0,1650.0,99.0,0.2319,0.060000000000002274,129.79,2.789999999999992,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,9.420000000000002,7.159999999999997,10.930000000000007,94.8,91.0,99.2,0.4000000000000057,0.09999999999999432,97.25,92.9,89.0,97.1,-0.1499999999999999,0.39000000000000057,0.5,0.20000000000000018,1203.9691229999999,-1.8223339999999553,64.08894299999997,-170.79731900000024,-56.48892000000001,-15.000683000000038,4105.548642000002,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,78.9
2002-10-01,,-0.3199999999999932,7987.599999999991,1.31,0.13,0.95,1.05,0.73,1.57,3.87,4.21,0.1399999999999999,0.44,1.79,5.62,1.14,6.02,1.28,14.0,16.17,5.490000000000009,0.86,1.670000000000016,-0.700000000000017,0.9499999999999886,3.6999999999999886,1.9699999999999989,0.4000000000000057,-130944.0,-38949.0,-453.0,16739.0,-7542.0,-10542.0,-30155.0,0.5,0.0,7.1000000000000085,3.5999999999999943,7.200000000000003,5.600000000000001,4.8999999999999915,10.899999999999991,9.399999999999999,11.300000000000011,0.75,0.4000000000000057,157227.0,149769.0,503.0,1602.0,3.9000000000000057,-0.010000000000005116,0.8200000000000003,3.210000000000001,4.449999999999989,3.8400000000000034,6.990000000000002,1.7199999999999989,0.22999999999999687,-0.6099999999999994,0.4399999999999977,1.309999999999988,8383.0,6644.0,918.0,967.0,-146.0,12227.0,11169.0,130.0,153.0,107.0,486.0,1478.0,45.0,1524.0,32.0,0.0,126.0,62.0,86.0,-11.0,10.0,-1259.3000000000002,0.0,56.7,2305.320000000007,-4312.9,-1.7899999999999991,-0.030000000000001137,-0.21999999999999975,-2.0500000000000043,-32425.0,-4.32,2442055.0,-2526.0,-2759.0,3095606.0,6586701.0,0.27,0.0,0.26,5595.0,6610.0,4370.0,2272.0,1499.0,6.0,0.46389999999999976,0.060000000000002274,133.11,-0.480000000000004,-0.09999999999999432,0.29999999999999716,-0.29999999999999716,-4.310000000000002,-6.070000000000007,-3.1400000000000006,95.7,95.1,96.8,0.4000000000000057,0.09999999999999432,97.25,93.8,93.3,94.7,-0.14000000000000012,1.549999999999999,3.5,0.5,-762.6714490000004,138.54958599999992,75.40244600000005,282.5363980000002,14.811001999999974,118.05411899999996,1104.0625469999977,1.229999542236321,466.0,67.2998046875,22.630004882812045,165.9404296875,0.0,18.0,15.0,-2.0,1.0,7.0,0.0,0.0,0.0,79.5
